customer_id,company_name,group_key_promoters,activity_company,address_company
A-100051,RISHI FIBC SOLUTIONS PRIVATE LIMITED,Arvind Nopany,PACKAGING MATERIALS,"7th Floor, Indra Complex Manjalpur,Vadodara,Gujarat 390004"
A-300012,GOKUL REFOILS AND SOLVENTS LTD,Balwant Singh Rajput,Manufacturing of Vegetable Oil,"No 43 Gokul House , Swastik Cross road, Shreemali Society , Opposite Shikhar Building navrangpura, Ahmedabad"
A-300014,Gokul Agri International Ltd,Balvantsinh Rajput,OILS & FATS :MFG. OF VEGETABLE OILS,"No 43, 3 rd Floor Gokul House , Swastik Cross road, Shreemali Society , Opposite Shikhar Building navrangpura, Ahmedabad"
A-300015,Asahi Songwon,Paru M Jaykrishna/ Munjal Mrugesh Jaykrishna/Gokul M Jaykrishna,Colors and Dyes,"13 Aaryan Corporate park, Nr Shilaj Railway crossing, thaltej Shilaj road Ahmedabad"
A-300016,Aksharchem,Paru M Jaykrishna/ Munjal Mrugesh Jaykrishna/Gokul M Jaykrishna,Colors and Dyes,"Akshar House  Chhatral Kadi road Indrad- 382715, Mehsana India"
A-300018,GSFC,Gujarat State Investments Limited,Fertiliser production,"P.O. Fertilizernagar ,City: BARODA,Dist: BARODA,State:Gujarat, India,Pin: 391750"
A-300020,Sintex Industries ltd,BVM FINANCE PVT LTD/OPEL SECURITIESW PVT LTD/KOLON INVESTMENT PVT LTD,Water Storage Tanks.,"KALOL (NORTH GUJARAT) ,City: KALOL,Dist:Gandhinagar,State: Gujarat, India,Pin: 382721"
A-300021,Nandan Exim Ltd,Brijmohan Chiripal/CHIRIPAL INDUSTRIES LIMITED/Chiripal Exim LLP/Devkinandan Corporation LLP,Manufacturing/Trading of Textile products,"Corporate off:Chiripal House,Shivranjani Cr. Roads Satellite,City: Ahmedabad,Dist: Ahmedabad,State: Gujarat, India,Pin:380015"
C-100001,BHARAT OMAN REFINERIES LTD,BPCL,PETROCHEM,deg
C-100002,BPCL,BPCL,PETROCHEM,
C-100004,HPCL,HPCL,PETROCHEM,
C-100005,INDIAN OIL CORPORATION LTD (MARKETING DIVISION),IOCL,PETROCHEM,
C-100008,ASIAN PAINTS,ASIAN PAINTS,CHEMICALS,
C-100014,GPIL,GODREJ,INFRASTRUCTURE,
C-100015,KITCHEN APPL,VIDEOCON,CONSUMER GOODS,
C-100018,SUPREME INDUSTRIES,Bajrangmal Surajmal Taparia & Mahaveer Prasad Taparia,PETROCHEM & Industrial Plastics,"612, Raheja Chamber, Nariman Point, Mumbai 400021"
C-100019,SUPREME PETROCHEM LTD,TAPARIA,PETROCHEM,
C-100020,VALUE INDUSTRIES LTD.,VIDEOCON,CONSUMER GOODS,
C-100021,VIDEOCON INTL,VIDEOCON,CONSUMER GOODS,
C-100023,CEAT LTD,RPG,ENGINEERING GOODS,
C-100028,TATA CHEMICALS LTD,TATA,CHEMICALS,
C-100029,TATA INTERNATIONAL LTD,TATA,TRADING,
C-100030,TCS LTD,TATA,SOFTWARE,
C-100040,KEC INTERNATIONAL LTD,RPG,ENGINEERING GOODS,
